Station,Cast,BottleID,Filtered,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temperature,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,DIC/TA Ratio,Dissolved_oxygen,DO_sat
1,Bottom,RSA_229,,20211005,41°42.00',69°48.00',41°41.95',69°48.15',23.1,42.2,5:50,5:50,5:53,5:58,6:00,,Mercuric,100,rain; gear caught on niskin,NA,NA,NA,NA,NA,NA,NA,,,44.80690621,10.30947409,,54.74966732,,44.61716732,,32.5586,,2100.1,,2208.1,,0.951089172,241.2239867,84.87207365
1,Surface,RSA_230,,20211005,41°42.00',69°48.00',41°41.95',69°48.15',23.1,42.2,NA,5:52,NA,NA,NA,,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,,,2.5,16.49007289,,12.59629286,,2.46379286,,31.6768,,1947,,2175.9,,0.894802151,274.3493411,109.0932648
2,Bottom,RSA_231,Y,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,7:07,7:13,7:16,7:21,7:23,,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,,,37.24861335,10.75573525,,,,,,32.4402,,2102,,2190.9,,0.959423068,,
2,Bottom,RSA_232,,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,7:07,7:13,7:16,7:21,7:23,,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,,,37.24861335,10.75573525,,47.05143558,,36.91893558,,32.4402,,2099.1,,2206.1,,0.951498119,240.9490434,85.53655794
2,Surface,RSA_233,,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,NA,7:22,NA,NA,NA,,Mercuric,100,rain; petcock & valve fell out,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.02470713,,12.67826159,,2.545761587,,31.6377,,1931.6,,2154.6,,0.896500511,272.9647246,109.6568998
3,Bottom,RSA_236,,20211005,41°36.04',69°30.08',41°36.08',69°30.28',40,73.2,8:59,9:00,9:03,9:06,9:09,D1,Mercuric,100,rain,9:22,9:35,41°35.58',69°29.62',41°34.73',69°28.72',1188,50,,74.83874507,8.760803324,,85.03522723,,74.90272723,,33.0057,,2119.9,,2228.5,,0.951267669,246.6409105,84.09879228
3,Surface,RSA_237,,20211005,41°36.04',69°30.08',41°36.08',69°30.28',40,73.2,NA,9:02,NA,NA,NA,,Mercuric,100,rain; petcock finicky,9:22,9:35,41°35.58',69°29.62',41°34.73',69°28.72',1188,50,,2.5,16.74988846,,12.66403358,,2.531533583,,31.5991,,1946.2,,2155.8,,0.902773912,274.957251,109.840688
5,Surface,RSA_238,,20211005,41°30.26',69°24.25',41°30.32',69°24.33',34.2,62.5,10:47,10:48,10:49,10:53,10:55,D2,Mercuric,100,rain; originally recorded as surface sample,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.07090789,,12.3901,,2.2576,,31.6019,,1936,,2143.2,,0.903322135,272.7309653,109.6238413
5,Bottom,RSA_239,,20211005,41°30.26',69°24.25',41°30.32',69°24.33',34.2,62.5,NA,10:51,NA,NA,NA,,Mercuric,100,rain; petcock finicky; originally recorded as surface sample,NA,NA,NA,NA,NA,NA,NA,,,64.50986527,10.10636442,,74.0176965,,63.8851965,,32.607,,2102.1,,2209.8,,0.951262558,248.5588563,87.11201608
4,Bottom,RSA_241,,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,12:06,12:08,12:11,12:14,12:16,D3,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,,,106.5844807,9.145002323,,117.1027306,,106.9702306,,32.9278,,2118.7,,2224.1,,0.952610045,251.3807916,86.39921054
4,Bottom,RSA_242,Y,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,12:06,12:08,12:11,12:14,12:16,D3,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,,,106.5844807,9.145002323,,117.1027306,,106.9702306,,32.9278,,2118.6,,2221.5,,0.953679946,,
4,Surface,RSA_243,,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,NA,12:13,NA,NA,NA,,Mercuric,100,rain; petcock finicky,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.09010065,,12.61976725,,2.487267252,,32.0214,,1944.5,,2175,,0.894022989,277.9537476,112.0661495
6,Bottom,RSA_244,Y,20211005,41°18.06',69°24.02',41°18.09',69°24.02',20.2,36.9,13:21,13:22,13:25,13:27,13:29,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,46.73907281,11.45358194,,56.87032122,,46.73782122,,32.6189,,2085.5,,2211.8,,0.942897188,,
6,Bottom,RSA_245,,20211005,41°18.06',69°24.02',41°18.09',69°24.02',20.2,36.9,13:21,13:22,13:25,13:27,13:29,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,46.73907281,11.45358194,,56.87032122,,46.73782122,,32.6189,,2086,,2206.6,,0.945345781,253.5759653,91.48569214
6,Surface,RSA_246,,20211005,41°18.06',69°24.02',41°18.09',69°24.02',20.2,36.9,NA,13:27,NA,NA,NA,,Mercuric,100,petcock finicky,NA,NA,NA,NA,NA,NA,NA,,,2.5,15.95213079,,12.5789312,,2.446431196,,32.189,,1979.3,,2187.2,,0.904946964,274.4942577,108.3407708
7,Bottom,RSA_247,,20211005,41°12.14',69°18.11',41°12.03',69°17.84',28,51.2,14:24,14:24,14:26,14:28,14:30,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,53.74904129,11.95668586,,63.96007798,,53.82757798,,32.5986,,2073.4,,2212.3,,0.937214664,259.6930391,94.68902625
7,Surface,RSA_248,,20211005,41°12.14',69°18.11',41°12.03',69°17.84',28,51.2,NA,14:25,NA,NA,NA,,Mercuric,100,petcock finicky,NA,NA,NA,NA,NA,NA,NA,,,2.5,14.26167933,,12.67618385,,2.543683854,,32.4017,,2025.6,,2198.9,,0.921187867,264.4181364,101.0149271
8,Bottom,RSA_249,,20211005,41°06.04',69°12.00',41°05.98',69°11.80',31.2,57.1,14:24,15:23,15:24,15:26,15:28,D4,Mercuric,100,CTD on from site 7,NA,NA,NA,NA,NA,NA,NA,,,59.32839615,13.16642019,,69.90414783,,59.77164783,,32.7304,,2065.7,,2214,,0.933017164,257.9934283,96.54906313
8,Surface,RSA_250,,20211005,41°06.04',69°12.00',41°05.98',69°11.80',31.2,57.1,NA,15:24,NA,NA,NA,,Mercuric,100,petcock finicky,NA,NA,NA,NA,NA,NA,NA,,,2.5,15.29358808,,12.7017815,,2.569281497,,32.4491,,2011.1,,2198.4,,0.914801674,263.5255119,102.8228133
10,Bottom,RSA_251,,20211005,40°59.88',69°06.07',40°59.13',69°05.47',38.6,70.6,14:24,17:45,17:47,17:54,17:56,,Benzalkonium and mercuric,250,CTD on from site 9,NA,NA,NA,NA,NA,NA,NA,,,74.35754047,12.37937273,,85.00844731,,74.87594731,,32.7816,,2075.6,,2214.5,,0.937277038,254.3090817,93.66582994
9,Bottom,RSA_252,,20211005,41°08.98',69°00.06',41°08.88',68°59.91',53.4,97.7,14:24,16:33,16:35,16:38,16:40,D5,Benzalkonium and mercuric,250,CTD on from site 8,NA,NA,NA,NA,NA,NA,NA,,,98.573616,8.652105584,,108.0825149,,97.95001493,,32.6188,,2030.1,,2206.3,,0.920137787,261.6634356,88.93965635
9,Surface,RSA_253,,20211005,41°08.98',69°00.06',41°08.88',68°59.91',53.4,97.7,NA,16:35,NA,NA,NA,,Benzalkonium and mercuric,250,petcock finicky -- switched niskins,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.67929676,,12.6428917,,2.510391701,,32.2903,,1947.8,,2185.9,,0.891074615,280.8813137,114.7314585
10,Surface,RSA_254,,20211005,40°59.88',69°06.07',40°59.13',69°05.47',38.6,70.6,NA,17:44,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.07645596,,12.65291363,,2.520413627,,32.768,,1997.9,,2211.4,,0.903454825,273.8771556,110.8988884
12,Bottom,RSA_255,,20211005,40°54.01',68°47.99',40°53.86',68°47.90',38.1,69.7,19:42,19:43,19:44,19:47,19:49,D6,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,,,72.62829468,16.4097835,,82.94243616,,72.80993616,,32.687,,2026.3,,2198.8,,0.921548117,262.1218548,104.7028223
11,Bottom,RSA_256,,20211005,40°53.92',68°53.96',40°53.62',68°53.86',39.2,71.7,19:02,19:03,19:04,19:06,19:09,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,,,60.84884348,15.69863124,,71.22513496,,61.09263496,,32.713,,2041.1,,2201.3,,0.927224822,257.0653443,101.2805389
11,Surface,RSA_257,,20211005,40°53.92',68°53.96',40°53.62',68°53.86',39.2,71.7,NA,19:05,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.24676544,,12.68432109,,2.551821086,,32.5935,,1987.3,,2199.9,,0.903359244,284.1074124,115.2984206
12,Surface,RSA_258,,20211005,40°54.01',68°47.99',40°53.86',68°47.90',38.1,69.7,NA,19:42,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,,,2.5,16.55094174,,12.75383786,,2.621337864,,32.6495,,2011.5,,2198.2,,0.915066873,269.5014671,107.9367997
13,Bottom,RSA_259,,20211005,40°53.99',68°42.01',40°53.94',68°41.98',34.8,63.6,20:24,20:24,20:26,20:28,20:30,,Mercuric,100,,20:36,20:51,40°54.32',68°42.33',40°55.04',68°43.05',0,0,rocks & large fluke,66.2785203,17.79557486,,75.81262235,,65.68012235,,32.6097,,2004.8,,2188.5,,0.916061229,270.2290163,110.8425328
13,Surface,RSA_260,,20211005,40°53.99',68°42.01',40°53.94',68°41.98',34.8,63.6,NA,20:27,NA,NA,NA,,Mercuric,100,,20:36,20:51,40°54.32',68°42.33',40°55.04',68°43.05',0,0,rocks & large fluke,2.5,17.85161178,,12.67644254,,2.543942542,,32.6038,,2004.2,,2191.8,,0.914408249,267.6138152,109.8837982
15,Bottom,RSA_261,,20211005,41°05.97',68°42.05',41°06.04',68°42.13',31.5,57.6,22:46,22:47,22:49,22:52,22:53,D7,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,62.37412584,14.78701076,,72.79482087,,62.66232087,,32.7781,,2049.8,,2202.9,,0.930500704,257.5600972,99.67812995
14,Bottom,RSA_262,,20211005,40°59.96',68°47.99',40°59.93',68°48.07',36.8,67.3,21:42,21:43,21:45,21:48,21:49,,Mercuric,100,"labeled 261 on datasheet; suspect the second ""261"" is correct",NA,NA,NA,NA,NA,NA,NA,,,70.1162809,14.87975791,,80.19542574,,70.06292574,,32.7539,,2050,,2205.2,,0.929620896,254.352981,98.6097449
14,Surface,RSA_263,,20211005,40°59.96',68°47.99',40°59.93',68°48.07',36.8,67.3,NA,21:46,NA,NA,NA,,Mercuric,100,labeled 262 on datasheet; suspect 262 is Bottom & 263 is Surface,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.06130816,,12.64387777,,2.511377773,,32.6361,,1990.8,,2198.3,,0.90560888,279.9020259,113.2137973
15,Surface,RSA_264,,20211005,41°05.97',68°42.05',41°06.04',68°42.13',31.5,57.6,NA,22:49,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,2.5,16.95690927,,12.63724613,,2.504746128,,32.6449,,2006.6,,2197.1,,0.913294798,273.9311914,110.5802508
16,Bottom,RSA_265,,20211005,41°12.09',68°48.05',41°12.21',68°48.12',43.2,79,22:46,23:43,23:44,23:47,23:49,,Mercuric,100,CTD on from site 15,NA,NA,NA,NA,NA,NA,NA,,,81.21506344,9.485954965,,91.4005644,,81.2680644,,32.6015,,2065.4,,2206.3,,0.93600145,257.9979962,89.29346467
16,Surface,RSA_266,,20211005,41°12.09',68°48.05',41°12.21',68°48.12',43.2,79,NA,23:46,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.1931447,,12.62300741,,2.490507406,,32.5852,,1981.4,,2195.8,,0.902359049,277.3203716,112.4216158
17,Bottom,RSA_267,,20211006,41°12.00',68°42.07',41°12.15',68°42.19',34.8,63.6,0:35,0:36,0:36,0:39,0:41,D8,Mercuric,100,top of niskin closed during cast,0:48,1:03,41°12.15',68°41.60',41°12.12',68°40.19',133,50,large gravid lobsters,67.1661117,12.80018877,,77.80275257,,67.67025257,,32.7855,,2064.3,,2205,,0.936190476,252.0994881,93.68216369
17,Surface,RSA_268,,20211006,41°12.00',68°42.07',41°12.15',68°42.19',34.8,63.6,NA,0:35,NA,NA,NA,,Mercuric,100,,0:48,1:03,41°12.15',68°41.60',41°12.12',68°40.19',133,50,large gravid lobsters,2.5,16.69442678,,12.59405567,,2.461555674,,32.6529,,2005.1,,2197,,0.912653619,275.3442074,110.5891036
22,Bottom,RSA_269,Y?,20211006,41°23.95',68°24.00',41°23.84',68°23.99',33.2,60.7,NA,6:32,NA,NA,NA,,Mercuric,100,originally recorded as surface sample (unfiltered),NA,NA,NA,NA,NA,NA,NA,,,60.7,NA,,NA,,NA,,32.8184,,2072.9,,2209.8,,0.938045889,,
18,Bottom,RSA_270,,20211006,41°12.05',68°36.03',41°12.15',68°36.06',33,60.4,1:39,1:40,1:41,1:44,1:45,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,,,63.55147552,16.89177194,,73.92602706,,63.79352706,,32.6574,,2019.5,,2197.1,,0.919166174,264.4026465,106.6067659
18,Surface,RSA_271,,20211006,41°12.05',68°36.03',41°12.15',68°36.06',33,60.4,NA,1:41,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.07372389,,12.73066984,,2.598169842,,32.6552,,2018.6,,2202.8,,0.916379154,261.6780073,105.8804587
19,Bottom,RSA_272,,20211006,41°18.04',68°29.98',41°18.10',68°29.96',32.7,59.8,2:36,2:36,2:37,2:40,2:41,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,,,61.73857403,17.09550099,,71.22137209,,61.08887209,,32.6616,,2019.7,,2196,,0.919717669,263.4650427,106.6527971
19,Surface,RSA_273,,20211006,41°18.04',68°29.98',41°18.10',68°29.96',32.7,59.8,NA,2:38,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.89732486,,12.62501876,,2.492518764,,32.6171,,2010.5,,2196.9,,0.91515317,262.9794056,108.0841904
22,Bottom,RSA_274,,20211006,41°23.95',68°24.00',41°23.84',68°23.99',33.2,60.7,6:31,6:32,6:33,6:36,6:37,,Mercuric,100,no CTD data; originally recorded as filtered,NA,NA,NA,NA,NA,NA,NA,,,60.7,NA,,NA,,NA,,32.8184,,2074.6,,2211,,0.938305667,NA,NA
20,Bottom,RSA_275,,20211006,41°20.87',68°41.82',41°20.89',69°41.80',50.2,91.8,3:57,3:57,3:59,4:02,4:05,D9,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,93.27686814,9.109280327,,103.3767981,,93.24429813,,32.8669,,2114.6,,2223.1,,0.951194278,255.3317243,87.66428889
22,Surface,RSA_276,,20211006,41°23.95',68°24.00',41°23.84',68°23.99',33.2,60.7,6:31,6:32,6:33,6:36,6:37,,Mercuric,100,no CTD data; originally recorded as bottom sample,NA,NA,NA,NA,NA,NA,NA,,,0,NA,,NA,,NA,,32.6533,,2009.4,,2197.6,,0.914345531,NA,NA
20,Surface,RSA_277,,20211006,41°20.87',68°41.82',41°20.89',69°41.80',50.2,91.8,NA,3:59,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.42713359,,12.40244802,,2.269948018,,32.4581,,1966.9,,2200.3,,0.893923556,272.5440693,110.8955268
21,Bottom,RSA_278,,20211006,41°26.95',68°36.04',41°26.90',68°36.02',50.7,92.7,5:00,5:00,5:02,5:05,5:06,D10,Mercuric,100,,5:14,5:29,41°26.58',68°35.23',41°26.06',68°33.68',306,50,,94.5678379,8.317186294,,105.0572693,,94.92476929,,32.9634,,2119,,2227.3,,0.951376106,258.1451345,87.10132878
21,Surface,RSA_279,,20211006,41°26.95',68°36.04',41°26.90',68°36.02',50.7,92.7,NA,5:02,NA,NA,NA,,Mercuric,100,,5:14,5:29,41°26.58',68°35.23',41°26.06',68°33.68',306,50,,2.5,17.20999211,,12.60883441,,2.476334409,,32.6939,,1992.6,,2210.9,,0.90126193,271.3824041,110.1235303
23,Bottom,RSA_280,,20211006,41°29.93',68°30.04',41°29.89',68°30.09',50.8,92.9,7:40,7:49,7:51,7:53,7:54,,Mercuric,100,recast (messenger caught by tape); no CTD data,NA,NA,NA,NA,NA,NA,NA,,,92.9,NA,,NA,,NA,,32.9459,,2118.3,,2227.8,,0.950850577,NA,NA
23,Surface,RSA_281,,20211006,41°29.93',68°30.04',41°29.89',68°30.09',50.8,92.9,NA,7:42,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,0,NA,,NA,,NA,,32.6819,,2017.5,,2199.7,,0.917155459,NA,NA
26,Bottom,RSA_282,,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,12:33,12:33,12:35,12:38,12:39,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,42.21246926,15.06300543,,51.68634794,,41.55384794,,32.7633,,2040,,2208.7,,0.923620229,260.5141303,101.3769687
25,Surface,RSA_283,,20211006,41°48.01',68°11.99',41°48.03',68°12.03',47.3,86.5,NA,10:56,NA,NA,NA,,Mercuric,100,,11:09,11:27,41°47.91',68°11.36',41°48.02',68°09.75',1048,50,drag down for ~18 mins (dealing with Niskin situation),2.5,17.70309236,,12.47749963,,2.344999628,,32.5942,,1998,,2195.1,,0.910209102,267.0429825,109.3311324
24,Bottom,RSA_284,Y,20211006,41°35.96',68°24.04',41°35.96',68°24.08',12.9,23.6,8:54,8:55,8:56,8:59,9:00,D11,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,26.51608556,16.77730614,,36.35723835,,26.22473835,,32.6959,,2023,,2203.7,,0.918001543,,
24,Bottom,RSA_285,,20211006,41°35.96',68°24.04',41°35.96',68°24.08',12.9,23.6,8:54,8:55,8:56,8:59,9:00,D11,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,26.51608556,16.77730614,,36.35723835,,26.22473835,,32.6959,,2026,,2194.8,,0.923090942,260.6214672,104.8536073
24,Surface,RSA_286,,20211006,41°35.96',68°24.04',41°35.96',68°24.08',12.9,23.6,NA,8:56,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,2.5,16.7765444,,12.74892255,,2.61642255,,32.6644,,2019.6,,2198.8,,0.918501001,260.471942,104.7909827
25,Bottom,RSA_287,,20211006,41°48.01',68°11.99',41°48.03',68°12.03',47.3,86.5,10:55,10:55,10:57,11:00,11:01,D12,Mercuric,100,"petcock, disc, bushing lost; no sal sample recorded",11:09,11:27,41°47.91',68°11.36',41°48.02',68°09.75',1048,50,drag down for ~18 mins (dealing with Niskin situation),88.67232296,9.918480106,,98.19227055,,88.05977055,,32.881,,2099.9,,2222.1,,0.945006975,250.8489094,87.71632173
26,Surface,RSA_288,Y?,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,NA,12:34,NA,NA,NA,,Mercuric,100,filtered sample not labeled on datasheet,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.39908421,,12.74795533,,2.615455327,,32.6397,,2003.8,,2196.5,,0.91226952,,
26,Surface,RSA_289,,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,NA,12:34,NA,NA,NA,,Mercuric,100,filtered sample not labeled on datasheet,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.39908421,,12.74795533,,2.615455327,,32.6397,,2005.4,,2192.5,,0.914663626,268.7600282,109.4224072
27,Bottom,RSA_290,,20211006,41°54.02',67°54.00',41°54.19',67°54.02',33.7,61.6,13:28,13:29,13:30,13:34,13:36,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,64.33720677,12.71567357,,74.04845546,,63.91595546,,32.8831,,2074.4,,2215.3,,0.936396876,255.5644868,94.85500542
27,Surface,RSA_291,,20211006,41°54.02',67°54.00',41°54.19',67°54.02',33.7,61.6,NA,13:29,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.04823961,,12.46057309,,2.328073092,,32.6736,,2008.4,,2196.3,,0.914447025,270.1503465,109.2668182
28,Bottom,RSA_292,Y,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,15:43,15:43,15:45,15:49,15:50,,Mercuric,100,,15:54,16:09,42°00.16',67°29.76',42°01.03',67°28.90',1815,50,heavily encrusted with barnacles,42.19160344,17.64059367,,52.53270852,,42.40020852,,32.5868,,2002.4,,2187.6,,0.915341013,,
28,Bottom,RSA_293,,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,15:43,15:43,15:45,15:49,15:50,,Mercuric,100,,15:54,16:09,42°00.16',67°29.76',42°01.03',67°28.90',1815,50,heavily encrusted with barnacles,42.19160344,17.64059367,,52.53270852,,42.40020852,,32.5868,,2007.8,,2185.6,,0.918649341,276.3117366,112.985076
