Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,DIC.TA.Ratio,Dissolved_oxygen,DO_sat
1,Bottom,RSA_229,20211005,41°42.00',69°48.00',41°41.95',69°48.15',23.1,42.2,5:50,5:50,5:53,5:58,6:00,,Mercuric,100,rain; gear caught on niskin,NA,NA,NA,NA,NA,NA,NA,NA,,44.80690621,10.30947409,NA,54.74966732,NA,44.61716732,NA,32.5586,NA,2100.1,NA,2208.1,NA,0.951089172,241.2239867,84.87207365
2,Bottom,RSA_232,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,7:07,7:13,7:16,7:21,7:23,,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,NA,,37.24861335,10.75573525,NA,47.05143558,NA,36.91893558,NA,32.4402,NA,2099.1,NA,2206.1,NA,0.951498119,240.9490434,85.53655794
3,Bottom,RSA_236,20211005,41°36.04',69°30.08',41°36.08',69°30.28',40,73.2,8:59,9:00,9:03,9:06,9:09,D1,Mercuric,100,rain,9:22,9:35,41°35.58',69°29.62',41°34.73',69°28.72',1188,50,,74.83874507,8.760803324,NA,85.03522723,NA,74.90272723,NA,33.0057,NA,2119.9,NA,2228.5,NA,0.951267669,246.6409105,84.09879228
5,Bottom,RSA_239,20211005,41°30.26',69°24.25',41°30.32',69°24.33',34.2,62.5,NA,10:51,NA,NA,NA,,Mercuric,100,rain; petcock finicky; originally recorded as surface sample,NA,NA,NA,NA,NA,NA,NA,NA,,64.50986527,10.10636442,NA,74.0176965,NA,63.8851965,NA,32.607,NA,2102.1,NA,2209.8,NA,0.951262558,248.5588563,87.11201608
4,Bottom,RSA_241,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,12:06,12:08,12:11,12:14,12:16,D3,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,NA,,106.5844807,9.145002323,NA,117.1027306,NA,106.9702306,NA,32.9278,NA,2118.7,NA,2224.1,NA,0.952610045,251.3807916,86.39921054
6,Bottom,RSA_245,20211005,41°18.06',69°24.02',41°18.09',69°24.02',20.2,36.9,13:21,13:22,13:25,13:27,13:29,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,46.73907281,11.45358194,NA,56.87032122,NA,46.73782122,NA,32.6189,NA,2086,NA,2206.6,NA,0.945345781,253.5759653,91.48569214
7,Bottom,RSA_247,20211005,41°12.14',69°18.11',41°12.03',69°17.84',28,51.2,14:24,14:24,14:26,14:28,14:30,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,53.74904129,11.95668586,NA,63.96007798,NA,53.82757798,NA,32.5986,NA,2073.4,NA,2212.3,NA,0.937214664,259.6930391,94.68902625
8,Bottom,RSA_249,20211005,41°06.04',69°12.00',41°05.98',69°11.80',31.2,57.1,14:24,15:23,15:24,15:26,15:28,D4,Mercuric,100,CTD on from site 7,NA,NA,NA,NA,NA,NA,NA,NA,,59.32839615,13.16642019,NA,69.90414783,NA,59.77164783,NA,32.7304,NA,2065.7,NA,2214,NA,0.933017164,257.9934283,96.54906313
10,Bottom,RSA_251,20211005,40°59.88',69°06.07',40°59.13',69°05.47',38.6,70.6,14:24,17:45,17:47,17:54,17:56,,Benzalkonium and mercuric,250,CTD on from site 9,NA,NA,NA,NA,NA,NA,NA,NA,,74.35754047,12.37937273,NA,85.00844731,NA,74.87594731,NA,32.7816,NA,2075.6,NA,2214.5,NA,0.937277038,254.3090817,93.66582994
9,Bottom,RSA_252,20211005,41°08.98',69°00.06',41°08.88',68°59.91',53.4,97.7,14:24,16:33,16:35,16:38,16:40,D5,Benzalkonium and mercuric,250,CTD on from site 8,NA,NA,NA,NA,NA,NA,NA,NA,,98.573616,8.652105584,NA,108.0825149,NA,97.95001493,NA,32.6188,NA,2030.1,NA,2206.3,NA,0.920137787,261.6634356,88.93965635
12,Bottom,RSA_255,20211005,40°54.01',68°47.99',40°53.86',40°53.92',38.1,69.7,19:42,19:43,19:44,19:47,19:49,D6,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,72.62829468,16.4097835,NA,82.94243616,NA,72.80993616,NA,32.687,NA,2026.3,NA,2198.8,NA,0.92154811700000006,262.1218548,104.7028223
11,Bottom,RSA_256,20211005,40°53.92',68°53.96',40°53.62',68°53.86',39.2,71.7,19:02,19:03,19:04,19:06,19:09,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,60.84884348,15.69863124,NA,71.22513496,NA,61.09263496,NA,32.713,NA,2041.1,NA,2201.3,NA,0.927224822,257.0653443,101.2805389
13,Bottom,RSA_259,20211005,40°53.99',68°42.01',40°53.94',68°41.98',34.8,63.6,20:24,20:24,20:26,20:28,20:30,,Mercuric,100,,20:36,20:51,40°54.32',68°42.33',40°55.04',68°43.05',0,0,rocks & large fluke,66.2785203,17.79557486,NA,75.81262235,NA,65.68012235,NA,32.6097,NA,2004.8,NA,2188.5,NA,0.916061229,270.2290163,110.8425328
15,Bottom,RSA_261,20211005,41°05.97',68°42.05',41°06.04',68°42.13',31.5,57.6,22:46,22:47,22:49,22:52,22:53,D7,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,62.37412584,14.78701076,NA,72.79482087,NA,62.66232087,NA,32.7781,NA,2049.8,NA,2202.9,NA,0.930500704,257.5600972,99.67812995
14,Bottom,RSA_262,20211005,40°59.96',68°47.99',40°59.93',68°48.07',36.8,67.3,21:42,21:43,21:45,21:48,21:49,,Mercuric,100,"labeled 261 on datasheet; suspect the second ""261"" is correct",NA,NA,NA,NA,NA,NA,NA,NA,,70.1162809,14.87975791,NA,80.19542574,NA,70.06292574,NA,32.7539,NA,2050,NA,2205.2,NA,0.929620896,254.352981,98.6097449
16,Bottom,RSA_265,20211005,41°12.09',68°48.05',41°12.21',68°48.12',43.2,79,22:46,23:43,23:44,23:47,23:49,,Mercuric,100,CTD on from site 15,NA,NA,NA,NA,NA,NA,NA,NA,,81.21506344,9.485954965,NA,91.4005644,NA,81.2680644,NA,32.6015,NA,2065.4,NA,2206.3,NA,0.93600145,257.9979962,89.29346467
17,Bottom,RSA_267,20211006,41°12.00',68°42.07',41°12.15',68°42.19',34.8,63.6,0:35,0:36,0:36,0:39,0:41,D8,Mercuric,100,top of niskin closed during cast,0:48,1:03,41°12.15',68°41.60',41°12.12',68°40.19',133,50,large gravid lobsters,67.1661117,12.80018877,NA,77.80275257,NA,67.67025257,NA,32.7855,NA,2064.3,NA,2205,NA,0.936190476,252.0994881,93.68216369
18,Bottom,RSA_270,20211006,41°12.05',68°36.03',41°12.15',68°36.06',33,60.4,1:39,1:40,1:41,1:44,1:45,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,63.55147552,16.89177194,NA,73.92602706,NA,63.79352706,NA,32.6574,NA,2019.5,NA,2197.1,NA,0.919166174,264.4026465,106.6067659
19,Bottom,RSA_272,20211006,41°18.04',68°29.98',41°18.10',68°29.96',32.7,59.8,2:36,2:36,2:37,2:40,2:41,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,61.73857403,17.09550099,NA,71.22137209,NA,61.08887209,NA,32.6616,NA,2019.7,NA,2196,NA,0.919717669,263.4650427,106.6527971
20,Bottom,RSA_275,20211006,41°20.87',68°41.82',41°20.89',69°41.80',50.2,91.8,3:57,3:57,3:59,4:02,4:05,D9,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,93.27686814,9.109280327,NA,103.3767981,NA,93.24429813,NA,32.8669,NA,2114.6,NA,2223.1,NA,0.951194278,255.3317243,87.66428889
21,Bottom,RSA_278,20211006,41°26.95',68°36.04',41°26.90',68°36.02',50.7,92.7,5:00,5:00,5:02,5:05,5:06,D10,Mercuric,100,,5:14,5:29,41°26.58',68°35.23',41°26.06',68°33.68',306,50,,94.5678379,8.317186294,NA,105.0572693,NA,94.92476929,NA,32.9634,NA,2119,NA,2227.3,NA,0.951376106,258.1451345,87.10132878
26,Bottom,RSA_282,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,12:33,12:33,12:35,12:38,12:39,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,42.21246926,15.06300543,NA,51.68634794,NA,41.55384794,NA,32.7633,NA,2040,NA,2208.7,NA,0.923620229,260.5141303,101.3769687
24,Bottom,RSA_285,20211006,41°35.96',68°24.04',41°35.96',68°24.08',12.9,23.6,8:54,8:55,8:56,8:59,9:00,D11,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,26.51608556,16.77730614,NA,36.35723835,NA,26.22473835,NA,32.6959,NA,2026,NA,2194.8,NA,0.923090942,260.6214672,104.8536073
25,Bottom,RSA_287,20211006,41°48.01',68°11.99',41°48.03',68°12.03',47.3,86.5,10:55,10:55,10:57,11:00,11:01,D12,Mercuric,100,"petcock, disc, bushing lost; no sal sample recorded",11:09,11:27,41°47.91',68°11.36',41°48.02',68°09.75',1048,50,drag down for ~18 mins (dealing with Niskin situation),88.67232296,9.918480106,NA,98.19227055,NA,88.05977055,NA,32.881,NA,2099.9,NA,2222.1,NA,0.945006975,250.8489094,87.71632173
27,Bottom,RSA_290,20211006,41°54.02',67°54.00',41°54.19',67°54.02',33.7,61.6,13:28,13:29,13:30,13:34,13:36,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,64.33720677,12.71567357,NA,74.04845546,NA,63.91595546,NA,32.8831,NA,2074.4,NA,2215.3,NA,0.936396876,255.5644868,94.85500542
28,Bottom,RSA_293,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,15:43,15:43,15:45,15:49,15:50,,Mercuric,100,,15:54,16:09,42°00.16',67°29.76',42°01.03',67°28.90',1815,50,heavily encrusted with barnacles,42.19160344,17.64059367,NA,52.53270852,NA,42.40020852,NA,32.5868,NA,2007.8,NA,2185.6,NA,0.918649341,276.3117366,112.985076
29,Bottom,RSA_295,20211006,42°06.03',67°23.93',42°05.96',67°23.82',37.9,69.3,16:56,16:58,16:59,17:01,17:02,,Mercuric,100,labeled 297 on datasheet,NA,NA,NA,NA,NA,NA,NA,NA,,71.45779137,9.956667131,NA,81.87158678,NA,71.73908678,NA,33.0179,NA,2102.3,NA,2223,NA,0.945704004,259.2161712,90.77012611
30,Bottom,RSA_297,20211006,42°05.94',67°12.04',42°05.56',67°11.82',28.7,52.5,17:55,17:56,17:57,18:00,18:02,,Mercuric,100,,18:07,18:22,42°05.09',67°11.72',42°03.96',67°11.68',513,50,"lobster, cod, barnacles, lots of crabs",54.84614105,13.7766942,NA,65.04172716,NA,54.90922716,NA,32.7975,NA,2060.9,NA,2208.7,NA,0.933082809,266.4468889,101.0361029
31,Bottom,RSA_300,20211006,41°59.96',67°11.98',41°59.81',67°11.96',28.5,52.1,18:47,18:49,18:49,18:52,18:53,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,53.71178552,16.15550234,NA,64.07513252,NA,53.94263252,NA,32.7084,NA,2028.2,NA,2202,NA,0.921071753,267.1877707,106.2210912
32,Bottom,RSA_302,20211006,41°54.05',67°23.89',41°53.15',67°23.70',27,49.4,19:58,19:58,20:00,20:03,20:05,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,52.04536427,17.71309721,NA,62.13728774,NA,52.00478774,NA,32.597,NA,2009.6,NA,2185.3,NA,0.91959914,280.0145733,114.6658543
35,Bottom,RSA_304,20211006,41°41.96',67°17.99',41°41.81',67°17.99',25.7,47,21:21,21:21,21:22,21:25,21:26,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,49.01163014,17.78517792,NA,59.09135251,NA,48.95885251,NA,32.5829,NA,2003.7,NA,2186.6,NA,0.916354157,280.5649198,115.0403775
34,Bottom,RSA_307,20211006,41°35.99',67°30.08',41°36.01',67°30.29',14.7,26.9,22:30,22:31,22:32,22:35,22:36,D13,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,27.32180531,18.20973841,NA,37.47871961,NA,27.34621961,NA,32.5694,NA,2002.4,NA,2181.4,NA,0.917942606,272.9287863,112.7936064
33,Bottom,RSA_311,20211006,41°30.03',67°42.03',41°30.12',67°42.18',23.3,42.6,23:45,23:45,23:46,23:49,23:49,,Benzalkonium and mercuric,250,petcock fell out; switched niskins,NA,NA,NA,NA,NA,NA,NA,NA,,46.54272458,18.41819559,NA,56.87457274,NA,46.74207274,NA,32.547,NA,1992.8,NA,2181.2,NA,0.913625527,278.6013495,115.5980593
36,Bottom,RSA_313,20211007,41°30.00',67°06.16',41°29.95',67°06.00',27.9,51,2:58,2:58,2:59,3:02,3:03,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,57.3782327,15.82991844,NA,67.7256728,NA,57.5931728,NA,32.5957,NA,2022.5,NA,2196.6,NA,0.920741145,262.7809243,103.7271202
37,Bottom,RSA_317,20211007,41°24.07',67°00.06',41°23.95',66°59.99',33.7,61.6,3:55,3:56,3:57,4:00,4:01,D14,Mercuric,100,,4:06,4:25,41°23.57',67°00.30',41°22.35',67°01.37',2,2,drag down for 19 mins; all sand dollars,60.04671335,13.76667097,NA,70.66129211,NA,60.52879211,NA,32.8085,NA,2062.6,NA,2213.1,NA,0.931995843,252.8948073,95.87502524
38,Bottom,RSA_318,20211007,41°18.02',67°05.95',41°17.97',67°05.92',31.5,57.6,5:09,5:10,5:11,5:14,5:15,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,55.58794501,14.73871254,NA,65.80305864,NA,55.67055864,NA,32.6927,NA,2058.2,NA,2206.5,NA,0.932789486,255.4210555,98.70510487
39,Bottom,RSA_320,20211007,41°17.93',66°53.94',41°17.80',66°53.90',37.4,68.4,6:12,6:13,6:15,6:18,6:19,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,65.17891803,11.51860491,NA,75.79133742,NA,65.65883742,NA,32.988,NA,2096.3,NA,2228.5,NA,0.940677586,253.5236472,91.81019636
40,Bottom,RSA_322,20211007,41°17.95',66°41.96',41°17.87',66°41.96',41,75,7:18,7:19,7:20,7:23,7:24,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,76.50113186,11.66261875,NA,86.95287478,NA,76.82037478,NA,32.9409,NA,2084,NA,2225.7,NA,0.936334636,253.9997169,92.23760875
41,Bottom,RSA_325,20211007,41°24.03',66°36.06',41°23.93',66°36.05',46.3,84.7,8:25,8:25,8:26,8:29,8:30,,Mercuric,100,,8:36,8:51,41°23.38',66°35.96',41°22.19',66°36.01',843,50,*tow moved bc of lobster gear at site 40; very clean pile,86.21018471,11.79867162,NA,96.99294801,NA,86.86044801,NA,32.9115,NA,2087.2,NA,2223.2,NA,0.938826916,251.911005,91.7268665
42,Bottom,RSA_327,20211007,41°17.95',66°29.98',41°17.84',66°30.08',49,89.6,9:36,9:37,9:38,9:41,9:42,D15,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,91.69730312,12.33247535,NA,102.2901307,NA,92.15763067,NA,34.4074,NA,2136.9,NA,2294,NA,0.931517001,226.8996328,84.33721517
43,Bottom,RSA_329,20211007,41°12.05',66°24.11',41°12.00',66°24.22',50.4,92.2,10:31,10:32,10:33,10:36,10:38,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,94.09400322,14.01295908,NA,104.9779712,NA,94.84547121,NA,35.1962,NA,2149.5,NA,2334.5,NA,0.920753909,210.2020738,81.30783113
44,Bottom,RSA_331,20211007,41°11.99',66°35.91',41°11.94',66°36.09',45,82.3,11:30,11:31,11:32,11:34,11:35,D16,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,82.63434821,11.09383443,NA,93.28666658,NA,83.15416658,NA,33.1019,NA,2100.1,NA,2231.7,NA,0.941031501,251.9752494,90.47991471
45,Bottom,RSA_333,20211007,41°11.99',66°47.94',41°12.06',66°48.06',38.8,71,12:31,12:32,12:32,12:34,12:35,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,68.40490415,11.09058313,NA,78.90574543,NA,68.77324543,NA,33.0214,NA,2093.1,NA,2231.5,NA,0.937978938,254.7717668,91.43983897
46,Bottom,RSA_335,20211007,41°06.07',66°42.08',41°06.06',66°42.21',42.5,77.7,13:33,13:34,13:35,13:36,13:37,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,67.54838383,10.93425234,NA,77.94000274,NA,67.80750274,NA,33.3614,NA,2111.1,NA,2248.8,NA,0.938767343,248.8681123,89.21533036
47,Bottom,RSA_338,20211007,41°00.02',66°36.02',40°59.96',66°35.95',45.6,83.4,NA,14:32,NA,NA,NA,,Mercuric,100,originally recorded as surface sample,NA,NA,NA,NA,NA,NA,NA,NA,,66.57696741,12.84901517,NA,77.1628,NA,67.0303,NA,34.4508,NA,2129.1,NA,2297.9,NA,0.926541625,231.0826684,86.86423438
48,Bottom,RSA_341,20211007,41°00.01',66°47.98',41°00.07',66°47.97',41.3,75.5,15:37,15:37,15:39,15:42,15:43,,Mercuric,100,uncertain about bottle numbers; sunny & calm,NA,NA,NA,NA,NA,NA,NA,NA,,76.00704384,11.57047681,NA,86.06676147,NA,75.93426147,NA,33.7645,NA,2122.3,NA,2266.6,NA,0.936336363,243.6119343,88.75751819
50,Bottom,RSA_342,20211007,41°05.94',66°53.93',41°06.03',66°53.84',37.5,68.6,16:35,16:35,16:36,16:38,16:39,,Mercuric,100,,16:45,17:00,41°06.42',66°54.34',41°07.07',66°55.42',149,50,drag caught in gear; may have lost some scallops,58.58071318,12.19024163,NA,68.97878694,NA,58.84628694,NA,33.0334,NA,2085.4,NA,2225.5,NA,0.937047854,255.6923071,93.95113111
51,Bottom,RSA_344,20211007,41°11.94',66°59.95',41°11.93',66°59.91',35.9,65.7,17:57,17:57,17:58,18:00,18:01,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,65.54029914,13.85507821,NA,76.04914176,NA,65.91664176,NA,32.7559,NA,2067,NA,2213.6,NA,0.933773039,258.6996142,98.23052673
56,Bottom,RSA_346,20211007,41°11.99',67°11.93',41°11.98',67°11.93',31.5,57.6,19:07,19:07,19:08,19:10,19:11,,Mercuric,100,,19:18,19:33,41°11.04',67°11.02',41°10.43',67°10.36',2,2,squid,52.37119209,15.30436233,NA,62.82189872,NA,52.68939872,NA,32.6047,NA,2038.8,NA,2205.2,NA,0.924541992,261.9277071,102.3201791
55,Bottom,RSA_348,20211007,41°06.01',67°06.01',41°05.72',67°05.87',34.2,62.5,20:08,20:08,20:09,20:10,20:12,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,47.05416868,13.47176885,NA,56.96876658,NA,46.83626658,NA,32.7965,NA,2058.3,NA,2217.3,NA,0.928291165,261.6790607,98.60708806
52,Bottom,RSA_350,20211007,40°59.97',67°00.00',40°59.83',66°59.95',37.8,69.1,20:57,20:57,20:58,21:00,21:02,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,64.53072822,12.33162495,NA,75.04577476,NA,64.91327476,NA,32.9306,NA,2083.5,NA,2225,NA,0.936404494,260.1066336,95.79557299
49,Bottom,RSA_352,20211007,40°53.90',66°53.92',40°53.75',66°53.88',48.4,88.5,21:47,21:48,21:49,21:51,21:52,D17,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,58.3864553,11.84274789,NA,68.89804811,NA,58.76554811,NA,33.1706,NA,2099,NA,2234.8,NA,0.939233936,256.2960882,93.60392177
53,Bottom,RSA_356,20211007,40°48.01',67°00.04',40°47.98',67°00.16',52.4,95.8,22:35,22:36,22:37,22:39,22:41,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,98.11883984,15.41110779,NA,108.4202063,NA,98.28770627,NA,35.6009,NA,2154.9,NA,2355,NA,0.915031847,211.9610723,84.53375322
